Hisse,Tarih,Net Kar,Yüzde,Sebep,Süre
NVDA,2024-01-22,19.75,7.9,İLK KAR AL (%10),11
LLY,2024-02-05,19.41,7.89,İLK KAR AL (%10),25
NVDA,2024-02-21,46.29,18.51,STOP / TRAILING,41
JPM,2024-03-21,22.66,7.97,İLK KAR AL (%10),29
JPM,2024-04-16,-1.5,-0.53,STOP / TRAILING,55
LLY,2024-04-25,26.87,10.92,STOP / TRAILING,105
GOOGL,2024-04-26,22.91,7.98,İLK KAR AL (%10),10
JPM,2024-07-15,21.73,7.95,İLK KAR AL (%10),81
GOOGL,2024-07-24,27.54,9.59,STOP / TRAILING,99
MSTR,2024-07-25,-61.19,-9.97,STOP / TRAILING,1
MSTR,2024-07-30,-34.5,-5.93,STOP / TRAILING,4
JPM,2024-08-05,2.73,1.0,STOP / TRAILING,102
PLTR,2024-08-16,21.92,7.96,İLK KAR AL (%10),8
PLTR,2024-08-28,2.76,1.0,STOP / TRAILING,20
JPM,2024-09-10,-48.74,-8.56,STOP / TRAILING,13
META,2024-09-19,21.58,7.95,İLK KAR AL (%10),42
PLTR,2024-10-03,20.77,7.93,İLK KAR AL (%10),23
PLTR,2024-11-18,156.37,59.68,STOP / TRAILING,69
MSTR,2024-11-19,26.94,8.05,İLK KAR AL (%10),1
MSTR,2024-11-21,75.3,22.51,STOP / TRAILING,3
NFLX,2025-01-10,-38.64,-5.79,STOP / TRAILING,50
JPM,2025-01-29,27.92,8.07,İLK KAR AL (%10),16
META,2025-02-24,70.22,25.86,STOP / TRAILING,200
JPM,2025-03-04,8.16,2.36,STOP / TRAILING,50
LLY,2025-03-10,-34.24,-4.67,STOP / TRAILING,14
MSTR,2025-03-28,-56.75,-8.1,STOP / TRAILING,4
PLTR,2025-03-28,-61.58,-8.9,STOP / TRAILING,4
NFLX,2025-04-24,25.34,8.03,İLK KAR AL (%10),9
PLTR,2025-04-25,25.68,8.03,İLK KAR AL (%10),10
PLTR,2025-05-06,38.08,11.91,STOP / TRAILING,21
MSFT,2025-06-12,28.54,8.08,İLK KAR AL (%10),37
NFLX,2025-07-18,61.95,19.62,STOP / TRAILING,94
MSFT,2025-08-26,45.3,12.82,STOP / TRAILING,112
GOOGL,2025-09-03,29.36,8.09,İLK KAR AL (%10),8
NVDA,2025-09-05,-29.82,-3.9,STOP / TRAILING,49
AVGO,2025-09-10,31.46,8.11,İLK KAR AL (%10),5
AVGO,2025-09-19,0.39,0.1,STOP / TRAILING,14
TSLA,2025-10-02,32.96,8.13,İLK KAR AL (%10),13
TSLA,2025-10-03,-1.5,-0.37,STOP / TRAILING,14
LLY,2025-11-05,33.11,8.13,İLK KAR AL (%10),33
LLY,2025-12-08,65.42,16.07,STOP / TRAILING,66
AVGO,2025-12-12,-66.06,-7.13,STOP / TRAILING,4
