Hisse,Tarih,Net Kar,Yüzde,Süre (Gün),Sebep
AMZN,2024-03-11,-4.67,-2.34,14,TREND KIRILIMI (SMA 20 Altı)
META,2024-03-11,-0.85,-0.42,14,TREND KIRILIMI (SMA 20 Altı)
AVGO,2024-03-11,-3.95,-1.97,14,TREND KIRILIMI (SMA 20 Altı)
CRM,2024-03-15,-8.92,-4.43,4,TREND KIRILIMI (SMA 20 Altı)
CMCSA,2024-03-25,-5.66,-2.81,14,TREND KIRILIMI (SMA 20 Altı)
QCOM,2024-03-26,-6.26,-3.11,15,TREND KIRILIMI (SMA 20 Altı)
NVDA,2024-04-02,20.78,10.39,36,TREND KIRILIMI (SMA 20 Altı)
MSFT,2024-04-04,-0.91,-0.46,20,TREND KIRILIMI (SMA 20 Altı)
META,2024-04-15,-5.58,-2.86,11,TREND KIRILIMI (SMA 20 Altı)
AMZN,2024-04-17,-0.95,-0.48,15,TREND KIRILIMI (SMA 20 Altı)
MU,2024-04-17,-9.67,-4.92,2,TREND KIRILIMI (SMA 20 Altı)
SCHW,2024-05-22,5.37,2.76,35,TREND KIRILIMI (SMA 20 Altı)
WFC,2024-05-23,6.71,3.45,36,TREND KIRILIMI (SMA 20 Altı)
GOOGL,2024-05-30,23.58,11.74,66,TREND KIRILIMI (SMA 20 Altı)
GOOG,2024-05-30,22.88,11.49,65,TREND KIRILIMI (SMA 20 Altı)
MSFT,2024-05-30,-7.4,-3.62,7,TREND KIRILIMI (SMA 20 Altı)
AVGO,2024-05-31,-6.78,-3.35,1,TREND KIRILIMI (SMA 20 Altı)
TSLA,2024-06-03,-4.33,-2.14,4,TREND KIRILIMI (SMA 20 Altı)
CMCSA,2024-06-06,-6.24,-3.16,6,TREND KIRILIMI (SMA 20 Altı)
GOOGL,2024-06-18,0.57,0.29,15,TREND KIRILIMI (SMA 20 Altı)
NVDA,2024-06-24,10.37,5.12,25,TREND KIRILIMI (SMA 20 Altı)
META,2024-07-12,-1.76,-0.83,24,TREND KIRILIMI (SMA 20 Altı)
MSFT,2024-07-15,10.32,5.15,39,TREND KIRILIMI (SMA 20 Altı)
NVDA,2024-07-16,-4.9,-2.33,1,TREND KIRILIMI (SMA 20 Altı)
GOOGL,2024-07-17,0.23,0.11,23,TREND KIRILIMI (SMA 20 Altı)
GOOG,2024-07-17,-6.15,-2.95,5,TREND KIRILIMI (SMA 20 Altı)
ADBE,2024-07-19,-5.85,-2.89,2,TREND KIRILIMI (SMA 20 Altı)
TXN,2024-07-23,-2.3,-1.17,4,TREND KIRILIMI (SMA 20 Altı)
AAPL,2024-07-24,24.16,11.59,63,TREND KIRILIMI (SMA 20 Altı)
TSLA,2024-07-24,-34.22,-16.54,8,TREND KIRILIMI (SMA 20 Altı)
CMCSA,2024-07-24,-13.97,-6.9,7,TREND KIRILIMI (SMA 20 Altı)
CRM,2024-07-24,-6.31,-3.22,1,TREND KIRILIMI (SMA 20 Altı)
AMGN,2024-08-05,-7.32,-3.89,12,TREND KIRILIMI (SMA 20 Altı)
T,2024-08-05,-3.95,-2.1,12,TREND KIRILIMI (SMA 20 Altı)
IBM,2024-08-05,-2.23,-1.18,12,TREND KIRILIMI (SMA 20 Altı)
MSCI,2024-08-05,-7.4,-3.94,12,TREND KIRILIMI (SMA 20 Altı)
CB,2024-08-06,-4.29,-2.36,1,TREND KIRILIMI (SMA 20 Altı)
NOW,2024-08-07,-2.66,-1.46,2,TREND KIRILIMI (SMA 20 Altı)
CHTR,2024-08-15,-7.24,-3.99,10,TREND KIRILIMI (SMA 20 Altı)
T,2024-08-15,-2.97,-1.68,8,TREND KIRILIMI (SMA 20 Altı)
META,2024-09-03,3.95,2.2,28,TREND KIRILIMI (SMA 20 Altı)
