Sembol,Fiyat,Sazlık_Skoru,Trend,RSI,F/K,Karar
SNPS,464.2,40,Nötr,85.3,31.22,İZLE
SABR,1.59,45,Nötr,37.04,9.32,İZLE
SPWR,1.59,30,Nötr,51.52,8.84,İZLE
LI,17.96,45,Nötr,38.52,11.66,İZLE
BA,205.43,40,Yükseliş,63.16,437.09,İZLE
ALK,48.76,30,Nötr,82.85,9.03,İZLE
HUBB,445.54,70,Yükseliş,69.71,25.14,İZLE
MCHP,67.11,45,Yükseliş,86.94,25.81,İZLE
TDW,57.6,90,Yükseliş,52.94,8.17,GÜÇLÜ ADAY
CSCO,79.25,90,Yükseliş,57.02,20.32,GÜÇLÜ ADAY
VRTX,441.82,70,Nötr,53.86,23.54,İZLE
HBI,6.47,50,Yükseliş,54.35,10.97,İZLE
SHW,328.96,25,Nötr,52.42,25.74,İZLE
GOEV,0.37,15,Nötr,,-0.16,İZLE
GE,287.48,60,Yükseliş,39.64,54.86,İZLE
UBER,91.93,60,Yükseliş,49.55,38.96,İZLE
INCY,98.47,90,Yükseliş,35.74,16.04,GÜÇLÜ ADAY
CHTR,203.85,30,Nötr,52.8,5.7,İZLE
BE,112.15,40,Yükseliş,52.82,303.1,İZLE
PDD,117.47,85,Yükseliş,26.96,8.34,GÜÇLÜ ADAY
ADI,279.84,60,Yükseliş,86.29,37.11,İZLE
PTON,6.41,10,Nötr,31.84,-20.68,İZLE
NUE,159.51,65,Yükseliş,72.18,17.04,İZLE
FITB,45.62,65,Yükseliş,92.94,12.5,İZLE
RBLX,96.24,10,Nötr,40.28,-69.24,İZLE
CRSP,57.2,45,Yükseliş,54.51,-11.35,İZLE
KLAC,1229.03,70,Yükseliş,65.83,37.45,İZLE
SPOT,554.16,30,Nötr,17.37,62.19,İZLE
AXP,362.86,65,Yükseliş,71.2,24.0,İZLE
BRZE,30.52,45,Yükseliş,87.03,122.08,İZLE
TOST,35.02,25,Nötr,51.87,100.06,İZLE
LUV,37.56,65,Yükseliş,83.76,23.63,İZLE
MCD,312.81,75,Yükseliş,61.44,24.81,GÜÇLÜ ADAY
AOS,67.18,50,Nötr,70.7,16.51,İZLE
ITW,249.65,75,Yükseliş,66.19,23.33,GÜÇLÜ ADAY
TTC,71.27,45,Nötr,58.15,15.53,İZLE
FTNT,84.29,50,Nötr,57.16,34.98,İZLE
BILL,54.06,45,Yükseliş,71.13,26.12,İZLE
DVN,37.82,80,Yükseliş,72.65,8.48,GÜÇLÜ ADAY
TTEC,3.57,30,Nötr,82.35,3.43,İZLE
WIX,100.61,35,Nötr,26.31,14.43,İZLE
RF,26.41,65,Yükseliş,86.73,11.69,İZLE
VNQ,89.57,30,Yükseliş,55.29,0.0,İZLE
JNJ,203.05,90,Yükseliş,64.65,19.16,GÜÇLÜ ADAY
FLR,43.83,80,Yükseliş,63.35,14.23,GÜÇLÜ ADAY
MRVL,89.69,70,Yükseliş,56.47,35.88,İZLE
SE,127.72,25,Nötr,30.89,60.53,İZLE
STLD,166.75,75,Yükseliş,69.29,16.61,GÜÇLÜ ADAY
UNH,325.66,45,Nötr,53.62,10.89,İZLE
HOG,22.7,60,Nötr,40.33,5.55,İZLE
HBAN,16.9,65,Yükseliş,87.64,12.61,İZLE
D,58.78,65,Yükseliş,37.02,17.39,İZLE
BK,114.61,65,Yükseliş,87.05,17.55,İZLE
CAR,133.04,50,Yükseliş,55.58,11.66,İZLE
STT,123.34,65,Yükseliş,86.87,13.21,İZLE
EA,203.88,80,Yükseliş,79.36,23.9,GÜÇLÜ ADAY
OKTA,87.91,25,Nötr,72.95,30.32,İZLE
RIVN,17.39,45,Yükseliş,77.79,-6.34,İZLE
AMD,219.81,60,Yükseliş,37.51,43.1,İZLE
DUK,115.68,50,Nötr,17.6,18.25,İZLE
LCID,12.56,25,Nötr,47.66,-14.28,İZLE
MMC,181.79,60,Nötr,52.79,19.28,İZLE
MPC,190.31,65,Yükseliş,42.67,18.66,İZLE
SEDG,30.32,45,Yükseliş,36.04,-12.38,İZLE
V,325.23,40,Nötr,49.31,25.69,İZLE
GPN,77.55,60,Nötr,68.56,6.06,İZLE
PFE,25.99,90,Yükseliş,60.54,8.87,GÜÇLÜ ADAY
XEL,76.48,70,Yükseliş,26.02,19.97,İZLE
GS,864.32,65,Yükseliş,81.44,20.8,İZLE
SWKS,69.49,70,Yükseliş,78.3,10.86,İZLE
QDEL,27.66,45,Nötr,80.43,10.44,İZLE
LLY,993.63,55,Yükseliş,43.54,43.85,İZLE
NOW,852.42,40,Nötr,56.1,51.04,İZLE
AVB,176.85,40,Nötr,47.78,31.92,İZLE
U,48.61,45,Yükseliş,87.04,-46.75,İZLE
PENN,13.68,30,Nötr,50.43,17.53,İZLE
CL,76.29,45,Nötr,39.36,19.76,İZLE
FTI,45.3,75,Yükseliş,68.88,23.0,GÜÇLÜ ADAY
UAL,104.07,50,Yükseliş,74.51,8.61,İZLE
TWLO,129.72,55,Yükseliş,66.09,30.74,İZLE
CME,270.82,60,Yükseliş,36.51,26.12,İZLE
DOCU,65.44,45,Nötr,52.25,17.75,İZLE
FRT,96.61,60,Yükseliş,53.68,31.47,İZLE
ROST,178.13,45,Yükseliş,90.34,26.63,İZLE
WMT,113.01,45,Yükseliş,70.09,41.55,İZLE
SPY,683.61,40,Yükseliş,65.02,0.0,İZLE
TTWO,247.31,35,Yükseliş,70.29,31.54,İZLE
GOOG,315.67,60,Yükseliş,70.97,35.27,İZLE
IONS,81.5,30,Yükseliş,78.35,-21.79,İZLE
EMR,136.75,80,Yükseliş,70.95,21.64,GÜÇLÜ ADAY
SYY,72.88,30,Nötr,37.86,14.81,İZLE
WMB,61.95,55,Yükseliş,59.77,29.64,İZLE
PSA,273.18,40,Nötr,54.18,25.7,İZLE
IBM,312.25,55,Yükseliş,65.51,29.43,İZLE
AMZN,228.19,60,Yükseliş,44.35,37.1,İZLE
NKLA,0.18,15,Nötr,,-0.02,İZLE
FCEL,8.39,45,Yükseliş,72.11,-1.41,İZLE
LYFT,22.99,60,Yükseliş,62.14,23.22,İZLE
PLUG,2.17,45,Yükseliş,54.26,-3.81,İZLE
ABBV,225.1,50,Yükseliş,38.58,18.56,İZLE
CVS,76.08,65,Yükseliş,42.55,11.74,İZLE
JD,29.83,45,Nötr,54.41,7.21,İZLE
CORT,85.26,60,Yükseliş,82.25,48.72,İZLE
MMM,163.76,75,Yükseliş,46.82,20.73,GÜÇLÜ ADAY
XPEV,20.19,25,Nötr,38.45,-44.87,İZLE
SYK,354.77,40,Nötr,44.2,26.22,İZLE
DHR,225.65,70,Yükseliş,58.25,26.93,İZLE
WAB,214.07,60,Yükseliş,79.32,25.21,İZLE
HD,349.77,30,Nötr,46.44,22.42,İZLE
HST,17.08,90,Yükseliş,47.36,17.61,GÜÇLÜ ADAY
EXC,43.54,50,Nötr,29.27,16.56,İZLE
VEEV,235.37,45,Nötr,12.83,34.82,İZLE
MSCI,537.34,30,Nötr,27.38,31.53,İZLE
APO,136.17,80,Yükseliş,82.34,16.06,GÜÇLÜ ADAY
INTU,657.07,25,Nötr,53.86,29.56,İZLE
HAL,28.12,75,Yükseliş,66.91,8.65,GÜÇLÜ ADAY
BSX,93.32,45,Nötr,28.01,33.45,İZLE
HOOD,135.98,55,Yükseliş,64.71,186.27,İZLE
CMCSA,27.06,60,Nötr,48.16,6.18,İZLE
KIM,20.0,40,Nötr,53.6,28.57,İZLE
META,669.82,30,Nötr,75.09,26.48,İZLE
TRV,281.2,90,Yükseliş,43.8,13.23,GÜÇLÜ ADAY
LUMN,8.32,40,Yükseliş,53.12,-13.0,İZLE
FVRR,21.38,45,Nötr,64.29,8.16,İZLE
RSG,215.08,40,Nötr,60.23,31.58,İZLE
TSM,298.35,70,Yükseliş,65.75,36.93,İZLE
ICE,156.85,70,Nötr,64.85,23.27,İZLE
LH,259.82,65,Yükseliş,48.32,16.22,İZLE
MELI,2092.83,10,Nötr,52.96,43.26,İZLE
BKR,47.43,80,Yükseliş,47.25,18.46,GÜÇLÜ ADAY
PCAR,110.57,65,Yükseliş,88.22,14.25,İZLE
DOX,76.83,60,Nötr,59.16,10.93,İZLE
FTV,54.03,65,Yükseliş,78.65,12.96,İZLE
DKNG,34.99,10,Nötr,78.29,61.39,İZLE
ABT,122.89,60,Nötr,31.27,23.82,İZLE
INTC,39.82,55,Yükseliş,63.0,41.05,İZLE
ABNB,121.75,50,Nötr,58.09,27.06,İZLE
TT,399.49,40,Nötr,38.01,31.58,İZLE
SNAP,7.95,30,Nötr,40.32,19.4,İZLE
SRE,89.86,80,Yükseliş,41.89,17.48,GÜÇLÜ ADAY
CARR,53.65,60,Nötr,52.25,17.65,İZLE
RUN,17.91,30,Yükseliş,46.09,-23.87,İZLE
ETN,344.23,60,Yükseliş,50.98,28.57,İZLE
COP,93.46,90,Yükseliş,67.38,11.64,GÜÇLÜ ADAY
DAL,66.64,65,Yükseliş,85.7,9.49,İZLE
MDT,102.08,90,Yükseliş,66.72,17.45,GÜÇLÜ ADAY
ROKU,100.95,55,Yükseliş,57.53,-160.24,İZLE
EW,84.51,70,Yükseliş,49.23,34.49,İZLE
PM,149.15,45,Nötr,43.36,20.71,İZLE
DDOG,154.8,50,Yükseliş,16.8,76.26,İZLE
BABA,156.99,80,Yükseliş,49.03,15.91,GÜÇLÜ ADAY
ADBE,340.55,70,Nötr,61.5,16.57,İZLE
HON,191.34,45,Nötr,40.17,17.38,İZLE
VTR,81.79,45,Yükseliş,71.61,511.16,İZLE
QCOM,174.39,90,Yükseliş,64.5,14.26,GÜÇLÜ ADAY
BMY,52.12,65,Yükseliş,76.75,7.41,İZLE
ARE,44.78,45,Nötr,32.33,13.02,İZLE
MU,242.81,90,Yükseliş,50.39,18.87,GÜÇLÜ ADAY
ZION,55.62,65,Yükseliş,92.84,11.37,İZLE
DE,477.99,55,Nötr,51.13,21.56,İZLE
C,108.86,65,Yükseliş,81.47,15.14,İZLE
KHC,24.47,45,Nötr,55.82,7.97,İZLE
ROP,447.65,60,Nötr,56.73,22.36,İZLE
REG,68.38,40,Nötr,43.72,32.56,İZLE
HUM,259.02,65,Yükseliş,69.96,15.38,İZLE
VLO,174.1,75,Yükseliş,45.72,18.04,GÜÇLÜ ADAY
PEP,145.78,60,Yükseliş,47.51,16.89,İZLE
HOLX,74.93,80,Yükseliş,72.07,15.88,GÜÇLÜ ADAY
ALGN,156.88,45,Nötr,92.02,15.29,İZLE
EXEL,43.24,70,Yükseliş,55.94,25.44,İZLE
NET,205.18,30,Yükseliş,53.02,238.58,İZLE
IEX,176.8,80,Yükseliş,81.71,20.75,GÜÇLÜ ADAY
SOL,1.78,65,Yükseliş,39.29,3.3,İZLE
ENPH,31.22,50,Nötr,74.44,8.53,İZLE
NFLX,95.94,60,Nötr,30.7,4.03,İZLE
BLK,1066.44,80,Yükseliş,66.18,21.72,GÜÇLÜ ADAY
GIS,45.99,45,Nötr,40.66,9.78,İZLE
PAGP,18.69,65,Yükseliş,81.91,11.19,İZLE
TER,202.96,60,Yükseliş,74.67,47.76,İZLE
PINS,27.38,60,Nötr,67.07,15.21,İZLE
TMUS,205.55,45,Nötr,32.07,19.26,İZLE
NVDA,183.27,60,Yükseliş,46.24,44.48,İZLE
MSI,372.7,25,Nötr,42.48,25.37,İZLE
PAA,17.49,65,Yükseliş,70.55,12.58,İZLE
RGEN,162.9,55,Yükseliş,69.27,91.52,İZLE
AEP,116.82,70,Yükseliş,24.79,19.83,İZLE
WDC,167.66,75,Yükseliş,53.69,19.03,GÜÇLÜ ADAY
HAS,82.29,50,Yükseliş,73.1,18.58,İZLE
ZS,246.65,30,Nötr,23.56,69.28,İZLE
MRNA,27.65,55,Yükseliş,62.09,-3.18,İZLE
CRM,258.01,70,Nötr,66.93,23.18,İZLE
O,57.83,60,Yükseliş,60.54,36.37,İZLE
KMI,27.53,90,Yükseliş,55.33,21.85,GÜÇLÜ ADAY
CCL,25.69,65,Yükseliş,52.38,14.94,İZLE
PSX,139.98,75,Yükseliş,57.38,14.75,GÜÇLÜ ADAY
MA,538.05,25,Nötr,50.72,32.85,İZLE
RNG,29.61,50,Yükseliş,73.47,7.0,İZLE
LRCX,161.71,70,Yükseliş,64.77,37.87,İZLE
MAT,20.98,65,Yükseliş,72.8,13.19,İZLE
AMAT,267.11,60,Yükseliş,74.42,27.57,İZLE
