Sembol,Alis_Tarihi,Satis_Tarihi,Alis_Fiyati,Satis_Fiyati,Sonuc,Net_PNL,Kasa_Etkisi
AAPL,2024-04-11,2024-04-16,173.62,168.01,ZARAR (SL),-326.35,9670.65
AAPL,2024-04-29,2024-05-03,172.1,181.9,KAR (TP),566.45,10234.1
AAPL,2024-05-06,2024-05-20,180.24,189.75,KAR (TP),524.71,10755.81
AAPL,2024-06-05,2024-06-11,194.55,205.75,KAR (TP),572.89,11325.7
AAPL,2024-06-20,2024-07-02,208.27,218.78,KAR (TP),502.06,11824.76
AAPL,2024-09-03,2024-10-18,221.52,233.68,KAR (TP),546.0,12367.76
AAPL,2024-10-23,2024-11-01,229.47,221.66,ZARAR (SL),-343.18,12021.58
AAPL,2025-02-21,2025-02-27,244.71,236.49,ZARAR (SL),-338.98,11679.6
AAPL,2025-05-02,2025-05-05,204.65,198.21,ZARAR (SL),-317.58,11359.01
AAPL,2025-05-12,2025-05-21,210.35,201.67,ZARAR (SL),-415.73,10940.28
AAPL,2025-06-23,2025-07-02,201.08,211.99,KAR (TP),539.93,11477.21
AAPL,2025-08-06,2025-08-08,212.8,228.87,KAR (TP),751.98,12226.19
AAPL,2025-08-11,2025-09-04,226.96,239.55,KAR (TP),551.63,12774.82
AAPL,2025-09-05,2025-09-10,239.46,226.57,ZARAR (SL),-541.2,12230.62
AAPL,2025-09-12,2025-09-22,233.84,255.83,KAR (TP),937.32,13164.94
AAPL,2025-10-20,2025-11-11,261.99,275.25,KAR (TP),503.29,13665.22
AAPL,2025-11-21,2025-12-02,271.49,286.19,KAR (TP),538.46,14200.68
MSFT,2024-01-31,2024-02-09,391.74,414.37,KAR (TP),574.74,14770.93
MSFT,2024-02-13,2024-03-21,400.35,423.84,KAR (TP),583.83,15351.75
MSFT,2024-03-28,2024-04-18,415.31,399.07,ZARAR (SL),-394.0,14954.76
MSFT,2024-05-15,2024-06-17,418.39,443.4,KAR (TP),594.76,15546.52
MSFT,2024-07-10,2024-07-16,461.08,444.54,ZARAR (SL),-361.82,15181.69
MSFT,2024-08-30,2024-09-06,413.26,397.96,ZARAR (SL),-373.14,14805.56
MSFT,2024-09-11,2024-10-07,419.1,405.73,ZARAR (SL),-322.12,14480.44
MSFT,2024-11-06,2024-12-05,416.27,439.38,KAR (TP),552.14,15029.58
MSFT,2024-12-18,2024-12-31,434.19,418.41,ZARAR (SL),-366.29,14660.29
MSFT,2025-01-22,2025-01-30,442.93,411.95,ZARAR (SL),-702.46,13954.82
MSFT,2025-04-09,2025-04-16,388.41,369.63,ZARAR (SL),-486.5,13465.33
MSFT,2025-04-30,2025-05-01,393.15,423.13,KAR (TP),759.54,14221.86
MSFT,2025-06-05,2025-06-25,466.04,490.54,KAR (TP),522.79,14741.65
MSFT,2025-07-18,2025-08-04,508.26,533.76,KAR (TP),498.72,15237.37
MSFT,2025-08-06,2025-08-20,523.1,503.95,ZARAR (SL),-369.14,14865.23
MSFT,2025-09-19,2025-11-06,516.96,496.17,ZARAR (SL),-405.18,14457.05
GOOGL,2024-03-18,2024-04-01,146.57,154.32,KAR (TP),525.85,14978.4
